function	function_usr	domain	provenance	current_source	current_header	original_source	original_header
p101_dlopen	c:@F@p101_dlopen	dynamic_linking	POSIX	libraries/lib_dynamic_linking/src/dlfcn.c	libraries/lib_dynamic_linking/include/p101_dynamic_linking/p101_dlfcn.h	libraries/lib_posix/src/dlfcn.c	libraries/lib_posix/include/p101_posix/p101_dlfcn.h
p101_dlsym	c:@F@p101_dlsym	dynamic_linking	POSIX	libraries/lib_dynamic_linking/src/dlfcn.c	libraries/lib_dynamic_linking/include/p101_dynamic_linking/p101_dlfcn.h	libraries/lib_posix/src/dlfcn.c	libraries/lib_posix/include/p101_posix/p101_dlfcn.h
p101_access	c:@F@p101_access	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_alphasort	c:@F@p101_alphasort	filesystem	POSIX	libraries/lib_filesystem/src/dirent.c	libraries/lib_filesystem/include/p101_filesystem/p101_dirent.h	libraries/lib_posix/src/dirent.c	libraries/lib_posix/include/p101_posix/p101_dirent.h
p101_basename	c:@F@p101_basename	filesystem	XSI	libraries/lib_filesystem/src/libgen.c	libraries/lib_filesystem/include/p101_filesystem/p101_libgen.h	libraries/lib_posix_xsi/src/libgen.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_libgen.h
p101_chdir	c:@F@p101_chdir	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_chmod	c:@F@p101_chmod	filesystem	POSIX	libraries/lib_filesystem/src/sys/stat.c	libraries/lib_filesystem/include/p101_filesystem/sys/p101_stat.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h
p101_chown	c:@F@p101_chown	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_closedir	c:@F@p101_closedir	filesystem	POSIX	libraries/lib_filesystem/src/dirent.c	libraries/lib_filesystem/include/p101_filesystem/p101_dirent.h	libraries/lib_posix/src/dirent.c	libraries/lib_posix/include/p101_posix/p101_dirent.h
p101_dirfd	c:@F@p101_dirfd	filesystem	POSIX	libraries/lib_filesystem/src/dirent.c	libraries/lib_filesystem/include/p101_filesystem/p101_dirent.h	libraries/lib_posix/src/dirent.c	libraries/lib_posix/include/p101_posix/p101_dirent.h
p101_dirname	c:@F@p101_dirname	filesystem	XSI	libraries/lib_filesystem/src/libgen.c	libraries/lib_filesystem/include/p101_filesystem/p101_libgen.h	libraries/lib_posix_xsi/src/libgen.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_libgen.h
p101_faccessat	c:@F@p101_faccessat	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_fchdir	c:@F@p101_fchdir	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_fchmod	c:@F@p101_fchmod	filesystem	POSIX	libraries/lib_filesystem/src/sys/stat.c	libraries/lib_filesystem/include/p101_filesystem/sys/p101_stat.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h
p101_fchmodat	c:@F@p101_fchmodat	filesystem	POSIX	libraries/lib_filesystem/src/sys/stat.c	libraries/lib_filesystem/include/p101_filesystem/sys/p101_stat.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h
p101_fchown	c:@F@p101_fchown	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_fchownat	c:@F@p101_fchownat	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_fdopendir	c:@F@p101_fdopendir	filesystem	POSIX	libraries/lib_filesystem/src/dirent.c	libraries/lib_filesystem/include/p101_filesystem/p101_dirent.h	libraries/lib_posix/src/dirent.c	libraries/lib_posix/include/p101_posix/p101_dirent.h
p101_fnmatch	c:@F@p101_fnmatch	filesystem	POSIX	libraries/lib_filesystem/src/fnmatch.c	libraries/lib_filesystem/include/p101_filesystem/p101_fnmatch.h	libraries/lib_posix/src/fnmatch.c	libraries/lib_posix/include/p101_posix/p101_fnmatch.h
p101_fpathconf	c:@F@p101_fpathconf	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_fstat	c:@F@p101_fstat	filesystem	POSIX	libraries/lib_filesystem/src/sys/stat.c	libraries/lib_filesystem/include/p101_filesystem/sys/p101_stat.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h
p101_fstatat	c:@F@p101_fstatat	filesystem	POSIX	libraries/lib_filesystem/src/sys/stat.c	libraries/lib_filesystem/include/p101_filesystem/sys/p101_stat.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h
p101_fstatvfs	c:@F@p101_fstatvfs	filesystem	POSIX	libraries/lib_filesystem/src/sys/statvfs.c	libraries/lib_filesystem/include/p101_filesystem/sys/p101_statvfs.h	libraries/lib_posix/src/sys/statvfs.c	libraries/lib_posix/include/p101_posix/sys/p101_statvfs.h
p101_ftruncate	c:@F@p101_ftruncate	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_ftw	c:@F@p101_ftw	filesystem	XSI	libraries/lib_filesystem/src/ftw.c	libraries/lib_filesystem/include/p101_filesystem/p101_ftw.h	libraries/lib_posix_xsi/src/ftw.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ftw.h
p101_futimens	c:@F@p101_futimens	filesystem	POSIX	libraries/lib_filesystem/src/sys/stat.c	libraries/lib_filesystem/include/p101_filesystem/sys/p101_stat.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h
p101_getcwd	c:@F@p101_getcwd	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_glob	c:@F@p101_glob	filesystem	POSIX	libraries/lib_filesystem/src/glob.c	libraries/lib_filesystem/include/p101_filesystem/p101_glob.h	libraries/lib_posix/src/glob.c	libraries/lib_posix/include/p101_posix/p101_glob.h
p101_globfree	c:@F@p101_globfree	filesystem	POSIX	libraries/lib_filesystem/src/glob.c	libraries/lib_filesystem/include/p101_filesystem/p101_glob.h	libraries/lib_posix/src/glob.c	libraries/lib_posix/include/p101_posix/p101_glob.h
p101_lchown	c:@F@p101_lchown	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_link	c:@F@p101_link	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_linkat	c:@F@p101_linkat	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_lstat	c:@F@p101_lstat	filesystem	POSIX	libraries/lib_filesystem/src/sys/stat.c	libraries/lib_filesystem/include/p101_filesystem/sys/p101_stat.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h
p101_mkdir	c:@F@p101_mkdir	filesystem	POSIX	libraries/lib_filesystem/src/sys/stat.c	libraries/lib_filesystem/include/p101_filesystem/sys/p101_stat.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h
p101_mkdirat	c:@F@p101_mkdirat	filesystem	POSIX	libraries/lib_filesystem/src/sys/stat.c	libraries/lib_filesystem/include/p101_filesystem/sys/p101_stat.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h
p101_mkdtemp	c:@F@p101_mkdtemp	filesystem	POSIX	libraries/lib_filesystem/src/stdlib.c	libraries/lib_filesystem/include/p101_filesystem/p101_stdlib.h	libraries/lib_posix/src/stdlib.c	libraries/lib_posix/include/p101_posix/p101_stdlib.h
p101_mknod	c:@F@p101_mknod	filesystem	XSI	libraries/lib_filesystem/src/sys/stat.c	libraries/lib_filesystem/include/p101_filesystem/sys/p101_stat.h	libraries/lib_posix_xsi/src/sys/stat.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_stat.h
p101_mkstemp	c:@F@p101_mkstemp	filesystem	POSIX	libraries/lib_filesystem/src/stdlib.c	libraries/lib_filesystem/include/p101_filesystem/p101_stdlib.h	libraries/lib_posix/src/stdlib.c	libraries/lib_posix/include/p101_posix/p101_stdlib.h
p101_nftw	c:@F@p101_nftw	filesystem	XSI	libraries/lib_filesystem/src/ftw.c	libraries/lib_filesystem/include/p101_filesystem/p101_ftw.h	libraries/lib_posix_xsi/src/ftw.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ftw.h
p101_opendir	c:@F@p101_opendir	filesystem	POSIX	libraries/lib_filesystem/src/dirent.c	libraries/lib_filesystem/include/p101_filesystem/p101_dirent.h	libraries/lib_posix/src/dirent.c	libraries/lib_posix/include/p101_posix/p101_dirent.h
p101_pathconf	c:@F@p101_pathconf	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_readdir	c:@F@p101_readdir	filesystem	POSIX	libraries/lib_filesystem/src/dirent.c	libraries/lib_filesystem/include/p101_filesystem/p101_dirent.h	libraries/lib_posix/src/dirent.c	libraries/lib_posix/include/p101_posix/p101_dirent.h
