function	function_usr	domain	provenance	current_source	current_header	original_source	original_header
p101_getutxid	c:@F@p101_getutxid	identity	XSI	libraries/lib_identity/src/utmpx.c	libraries/lib_identity/include/p101_identity/p101_utmpx.h	libraries/lib_posix_xsi/src/utmpx.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_utmpx.h
p101_getutxline	c:@F@p101_getutxline	identity	XSI	libraries/lib_identity/src/utmpx.c	libraries/lib_identity/include/p101_identity/p101_utmpx.h	libraries/lib_posix_xsi/src/utmpx.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_utmpx.h
p101_pututxline	c:@F@p101_pututxline	identity	XSI	libraries/lib_identity/src/utmpx.c	libraries/lib_identity/include/p101_identity/p101_utmpx.h	libraries/lib_posix_xsi/src/utmpx.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_utmpx.h
p101_setegid	c:@F@p101_setegid	identity	POSIX	libraries/lib_identity/src/unistd.c	libraries/lib_identity/include/p101_identity/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_seteuid	c:@F@p101_seteuid	identity	POSIX	libraries/lib_identity/src/unistd.c	libraries/lib_identity/include/p101_identity/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_setgid	c:@F@p101_setgid	identity	POSIX	libraries/lib_identity/src/unistd.c	libraries/lib_identity/include/p101_identity/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_setregid	c:@F@p101_setregid	identity	XSI	libraries/lib_identity/src/unistd.c	libraries/lib_identity/include/p101_identity/p101_unistd.h	libraries/lib_posix_xsi/src/unistd.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_unistd.h
p101_setreuid	c:@F@p101_setreuid	identity	XSI	libraries/lib_identity/src/unistd.c	libraries/lib_identity/include/p101_identity/p101_unistd.h	libraries/lib_posix_xsi/src/unistd.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_unistd.h
p101_setuid	c:@F@p101_setuid	identity	POSIX	libraries/lib_identity/src/unistd.c	libraries/lib_identity/include/p101_identity/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_setusershell	c:@F@p101_setusershell	identity	common-Unix	libraries/lib_identity/src/unistd.c	libraries/lib_identity/include/p101_identity/p101_unistd.h	libraries/lib_unix/src/unistd.c	libraries/lib_unix/include/p101_unix/p101_unistd.h
p101_setutxent	c:@F@p101_setutxent	identity	XSI	libraries/lib_identity/src/utmpx.c	libraries/lib_identity/include/p101_identity/p101_utmpx.h	libraries/lib_posix_xsi/src/utmpx.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_utmpx.h
p101_aio_cancel	c:@F@p101_aio_cancel	io	POSIX	libraries/lib_io/src/aio.c	libraries/lib_io/include/p101_io/p101_aio.h	libraries/lib_posix/src/aio.c	libraries/lib_posix/include/p101_posix/p101_aio.h
p101_aio_error	c:@F@p101_aio_error	io	POSIX	libraries/lib_io/src/aio.c	libraries/lib_io/include/p101_io/p101_aio.h	libraries/lib_posix/src/aio.c	libraries/lib_posix/include/p101_posix/p101_aio.h
p101_aio_fsync	c:@F@p101_aio_fsync	io	POSIX	libraries/lib_io/src/aio.c	libraries/lib_io/include/p101_io/p101_aio.h	libraries/lib_posix/src/aio.c	libraries/lib_posix/include/p101_posix/p101_aio.h
p101_aio_read	c:@F@p101_aio_read	io	POSIX	libraries/lib_io/src/aio.c	libraries/lib_io/include/p101_io/p101_aio.h	libraries/lib_posix/src/aio.c	libraries/lib_posix/include/p101_posix/p101_aio.h
p101_aio_return	c:@F@p101_aio_return	io	POSIX	libraries/lib_io/src/aio.c	libraries/lib_io/include/p101_io/p101_aio.h	libraries/lib_posix/src/aio.c	libraries/lib_posix/include/p101_posix/p101_aio.h
p101_aio_suspend	c:@F@p101_aio_suspend	io	POSIX	libraries/lib_io/src/aio.c	libraries/lib_io/include/p101_io/p101_aio.h	libraries/lib_posix/src/aio.c	libraries/lib_posix/include/p101_posix/p101_aio.h
p101_aio_write	c:@F@p101_aio_write	io	POSIX	libraries/lib_io/src/aio.c	libraries/lib_io/include/p101_io/p101_aio.h	libraries/lib_posix/src/aio.c	libraries/lib_posix/include/p101_posix/p101_aio.h
p101_close	c:@F@p101_close	io	POSIX	libraries/lib_io/src/unistd.c	libraries/lib_io/include/p101_io/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_creat	c:@F@p101_creat	io	POSIX	libraries/lib_io/src/fcntl.c	libraries/lib_io/include/p101_io/p101_fcntl.h	libraries/lib_posix/src/fcntl.c	libraries/lib_posix/include/p101_posix/p101_fcntl.h
p101_dup	c:@F@p101_dup	io	POSIX	libraries/lib_io/src/unistd.c	libraries/lib_io/include/p101_io/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_dup2	c:@F@p101_dup2	io	POSIX	libraries/lib_io/src/unistd.c	libraries/lib_io/include/p101_io/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_fcntl	c:@F@p101_fcntl	io	POSIX	libraries/lib_io/src/fcntl.c	libraries/lib_io/include/p101_io/p101_fcntl.h	libraries/lib_posix/src/fcntl.c	libraries/lib_posix/include/p101_posix/p101_fcntl.h
p101_fdopen	c:@F@p101_fdopen	io	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_fileno	c:@F@p101_fileno	io	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_flockfile	c:@F@p101_flockfile	io	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_fmemopen	c:@F@p101_fmemopen	io	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_fpurge	c:@F@p101_fpurge	io	common-Unix	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_unix/src/stdio.c	libraries/lib_unix/include/p101_unix/p101_stdio.h
p101_fseeko	c:@F@p101_fseeko	io	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_ftello	c:@F@p101_ftello	io	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_ftrylockfile	c:@F@p101_ftrylockfile	io	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_funlockfile	c:@F@p101_funlockfile	io	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_getc_unlocked	c:@F@p101_getc_unlocked	io	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_getchar_unlocked	c:@F@p101_getchar_unlocked	io	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_getdelim	c:@F@p101_getdelim	io	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_getline	c:@F@p101_getline	io	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_lio_listio	c:@F@p101_lio_listio	io	POSIX	libraries/lib_io/src/aio.c	libraries/lib_io/include/p101_io/p101_aio.h	libraries/lib_posix/src/aio.c	libraries/lib_posix/include/p101_posix/p101_aio.h
p101_lockf	c:@F@p101_lockf	io	XSI	libraries/lib_io/src/unistd.c	libraries/lib_io/include/p101_io/p101_unistd.h	libraries/lib_posix_xsi/src/unistd.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_unistd.h
p101_lseek	c:@F@p101_lseek	io	POSIX	libraries/lib_io/src/unistd.c	libraries/lib_io/include/p101_io/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_open	c:@F@p101_open	io	POSIX	libraries/lib_io/src/fcntl.c	libraries/lib_io/include/p101_io/p101_fcntl.h	libraries/lib_posix/src/fcntl.c	libraries/lib_posix/include/p101_posix/p101_fcntl.h
p101_open_memstream	c:@F@p101_open_memstream	io	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_openat	c:@F@p101_openat	io	POSIX	libraries/lib_io/src/fcntl.c	libraries/lib_io/include/p101_io/p101_fcntl.h	libraries/lib_posix/src/fcntl.c	libraries/lib_posix/include/p101_posix/p101_fcntl.h
p101_poll	c:@F@p101_poll	io	POSIX	libraries/lib_io/src/poll.c	libraries/lib_io/include/p101_io/p101_poll.h	libraries/lib_posix/src/poll.c	libraries/lib_posix/include/p101_posix/p101_poll.h
p101_pread	c:@F@p101_pread	io	POSIX	libraries/lib_io/src/unistd.c	libraries/lib_io/include/p101_io/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_pselect	c:@F@p101_pselect	io	POSIX	libraries/lib_io/src/sys/select.c	libraries/lib_io/include/p101_io/sys/p101_select.h	libraries/lib_posix/src/sys/select.c	libraries/lib_posix/include/p101_posix/sys/p101_select.h
p101_putc_unlocked	c:@F@p101_putc_unlocked	io	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_putchar_unlocked	c:@F@p101_putchar_unlocked	io	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_pwrite	c:@F@p101_pwrite	io	POSIX	libraries/lib_io/src/unistd.c	libraries/lib_io/include/p101_io/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_read	c:@F@p101_read	io	POSIX	libraries/lib_io/src/unistd.c	libraries/lib_io/include/p101_io/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_readv	c:@F@p101_readv	io	XSI	libraries/lib_io/src/sys/uio.c	libraries/lib_io/include/p101_io/sys/p101_uio.h	libraries/lib_posix_xsi/src/sys/uio.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_uio.h
p101_select	c:@F@p101_select	io	POSIX	libraries/lib_io/src/sys/select.c	libraries/lib_io/include/p101_io/sys/p101_select.h	libraries/lib_posix/src/sys/select.c	libraries/lib_posix/include/p101_posix/sys/p101_select.h
p101_setbuffer	c:@F@p101_setbuffer	io	common-Unix	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_unix/src/stdio.c	libraries/lib_unix/include/p101_unix/p101_stdio.h
p101_setlinebuf	c:@F@p101_setlinebuf	io	common-Unix	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_unix/src/stdio.c	libraries/lib_unix/include/p101_unix/p101_stdio.h
p101_vdprintf	c:@F@p101_vdprintf	io	POSIX	libraries/lib_io/src/stdio.c	libraries/lib_io/include/p101_io/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_write	c:@F@p101_write	io	POSIX	libraries/lib_io/src/unistd.c	libraries/lib_io/include/p101_io/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_writev	c:@F@p101_writev	io	XSI	libraries/lib_io/src/sys/uio.c	libraries/lib_io/include/p101_io/sys/p101_uio.h	libraries/lib_posix_xsi/src/sys/uio.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_uio.h
p101_ftok	c:@F@p101_ftok	ipc	XSI	libraries/lib_ipc/src/sys/ipc.c	libraries/lib_ipc/include/p101_ipc/sys/p101_ipc.h	libraries/lib_posix_xsi/src/sys/ipc.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_ipc.h
p101_mkfifo	c:@F@p101_mkfifo	ipc	POSIX	libraries/lib_ipc/src/sys/stat.c	libraries/lib_ipc/include/p101_ipc/sys/p101_stat.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h
p101_msgctl	c:@F@p101_msgctl	ipc	XSI	libraries/lib_ipc/src/sys/msg.c	libraries/lib_ipc/include/p101_ipc/sys/p101_msg.h	libraries/lib_posix_xsi/src/sys/msg.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_msg.h
p101_msgget	c:@F@p101_msgget	ipc	XSI	libraries/lib_ipc/src/sys/msg.c	libraries/lib_ipc/include/p101_ipc/sys/p101_msg.h	libraries/lib_posix_xsi/src/sys/msg.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_msg.h
p101_msgrcv	c:@F@p101_msgrcv	ipc	XSI	libraries/lib_ipc/src/sys/msg.c	libraries/lib_ipc/include/p101_ipc/sys/p101_msg.h	libraries/lib_posix_xsi/src/sys/msg.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_msg.h
p101_msgsnd	c:@F@p101_msgsnd	ipc	XSI	libraries/lib_ipc/src/sys/msg.c	libraries/lib_ipc/include/p101_ipc/sys/p101_msg.h	libraries/lib_posix_xsi/src/sys/msg.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_msg.h
p101_pipe	c:@F@p101_pipe	ipc	POSIX	libraries/lib_ipc/src/unistd.c	libraries/lib_ipc/include/p101_ipc/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_semctl	c:@F@p101_semctl	ipc	XSI	libraries/lib_ipc/src/sys/sem.c	libraries/lib_ipc/include/p101_ipc/sys/p101_sem.h	libraries/lib_posix_xsi/src/sys/sem.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_sem.h
p101_semctl_arg	c:@F@p101_semctl_arg	ipc	XSI	libraries/lib_ipc/src/sys/sem.c	libraries/lib_ipc/include/p101_ipc/sys/p101_sem.h	libraries/lib_posix_xsi/src/sys/sem.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_sem.h
p101_semget	c:@F@p101_semget	ipc	XSI	libraries/lib_ipc/src/sys/sem.c	libraries/lib_ipc/include/p101_ipc/sys/p101_sem.h	libraries/lib_posix_xsi/src/sys/sem.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_sem.h
p101_semop	c:@F@p101_semop	ipc	XSI	libraries/lib_ipc/src/sys/sem.c	libraries/lib_ipc/include/p101_ipc/sys/p101_sem.h	libraries/lib_posix_xsi/src/sys/sem.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_sem.h
p101_shm_open	c:@F@p101_shm_open	ipc	POSIX-optional	libraries/lib_ipc/src/sys/mman.c	libraries/lib_ipc/include/p101_ipc/sys/p101_mman.h	libraries/lib_posix_optional/src/sys/mman.c	libraries/lib_posix_optional/include/p101_posix_optional/sys/p101_mman.h
p101_shm_unlink	c:@F@p101_shm_unlink	ipc	POSIX-optional	libraries/lib_ipc/src/sys/mman.c	libraries/lib_ipc/include/p101_ipc/sys/p101_mman.h	libraries/lib_posix_optional/src/sys/mman.c	libraries/lib_posix_optional/include/p101_posix_optional/sys/p101_mman.h
p101_shmat	c:@F@p101_shmat	ipc	XSI	libraries/lib_ipc/src/sys/shm.c	libraries/lib_ipc/include/p101_ipc/sys/p101_shm.h	libraries/lib_posix_xsi/src/sys/shm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_shm.h
p101_shmctl	c:@F@p101_shmctl	ipc	XSI	libraries/lib_ipc/src/sys/shm.c	libraries/lib_ipc/include/p101_ipc/sys/p101_shm.h	libraries/lib_posix_xsi/src/sys/shm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_shm.h
p101_shmdt	c:@F@p101_shmdt	ipc	XSI	libraries/lib_ipc/src/sys/shm.c	libraries/lib_ipc/include/p101_ipc/sys/p101_shm.h	libraries/lib_posix_xsi/src/sys/shm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_shm.h
p101_shmget	c:@F@p101_shmget	ipc	XSI	libraries/lib_ipc/src/sys/shm.c	libraries/lib_ipc/include/p101_ipc/sys/p101_shm.h	libraries/lib_posix_xsi/src/sys/shm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_shm.h
p101_catclose	c:@F@p101_catclose	locale	POSIX	libraries/lib_text/src/p101_locale/nl_types.c	libraries/lib_text/include/p101_locale/p101_nl_types.h	libraries/lib_posix/src/nl_types.c	libraries/lib_posix/include/p101_posix/p101_nl_types.h
p101_catgets	c:@F@p101_catgets	locale	POSIX	libraries/lib_text/src/p101_locale/nl_types.c	libraries/lib_text/include/p101_locale/p101_nl_types.h	libraries/lib_posix/src/nl_types.c	libraries/lib_posix/include/p101_posix/p101_nl_types.h
p101_catopen	c:@F@p101_catopen	locale	POSIX	libraries/lib_text/src/p101_locale/nl_types.c	libraries/lib_text/include/p101_locale/p101_nl_types.h	libraries/lib_posix/src/nl_types.c	libraries/lib_posix/include/p101_posix/p101_nl_types.h
p101_duplocale	c:@F@p101_duplocale	locale	POSIX	libraries/lib_text/src/p101_locale/locale.c	libraries/lib_text/include/p101_locale/p101_locale.h	libraries/lib_posix/src/locale.c	libraries/lib_posix/include/p101_posix/p101_locale.h
p101_freelocale	c:@F@p101_freelocale	locale	POSIX	libraries/lib_text/src/p101_locale/locale.c	libraries/lib_text/include/p101_locale/p101_locale.h	libraries/lib_posix/src/locale.c	libraries/lib_posix/include/p101_posix/p101_locale.h
p101_iconv	c:@F@p101_iconv	locale	POSIX	libraries/lib_text/src/p101_locale/iconv.c	libraries/lib_text/include/p101_locale/p101_iconv.h	libraries/lib_posix/src/iconv.c	libraries/lib_posix/include/p101_posix/p101_iconv.h
p101_iconv_close	c:@F@p101_iconv_close	locale	POSIX	libraries/lib_text/src/p101_locale/iconv.c	libraries/lib_text/include/p101_locale/p101_iconv.h	libraries/lib_posix/src/iconv.c	libraries/lib_posix/include/p101_posix/p101_iconv.h
p101_iconv_open	c:@F@p101_iconv_open	locale	POSIX	libraries/lib_text/src/p101_locale/iconv.c	libraries/lib_text/include/p101_locale/p101_iconv.h	libraries/lib_posix/src/iconv.c	libraries/lib_posix/include/p101_posix/p101_iconv.h
p101_newlocale	c:@F@p101_newlocale	locale	POSIX	libraries/lib_text/src/p101_locale/locale.c	libraries/lib_text/include/p101_locale/p101_locale.h	libraries/lib_posix/src/locale.c	libraries/lib_posix/include/p101_posix/p101_locale.h
p101_nl_langinfo	c:@F@p101_nl_langinfo	locale	POSIX	libraries/lib_text/src/p101_locale/langinfo.c	libraries/lib_text/include/p101_locale/p101_langinfo.h	libraries/lib_posix/src/langinfo.c	libraries/lib_posix/include/p101_posix/p101_langinfo.h
p101_nl_langinfo_l	c:@F@p101_nl_langinfo_l	locale	POSIX	libraries/lib_text/src/p101_locale/langinfo.c	libraries/lib_text/include/p101_locale/p101_langinfo.h	libraries/lib_posix/src/langinfo.c	libraries/lib_posix/include/p101_posix/p101_langinfo.h
p101_uselocale	c:@F@p101_uselocale	locale	POSIX	libraries/lib_text/src/p101_locale/locale.c	libraries/lib_text/include/p101_locale/p101_locale.h	libraries/lib_posix/src/locale.c	libraries/lib_posix/include/p101_posix/p101_locale.h
p101_j0	c:@F@p101_j0	math	XSI	libraries/lib_numeric/src/p101_math/math.c	libraries/lib_numeric/include/p101_math/p101_math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h
p101_j1	c:@F@p101_j1	math	XSI	libraries/lib_numeric/src/p101_math/math.c	libraries/lib_numeric/include/p101_math/p101_math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h
p101_jn	c:@F@p101_jn	math	XSI	libraries/lib_numeric/src/p101_math/math.c	libraries/lib_numeric/include/p101_math/p101_math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h
p101_y0	c:@F@p101_y0	math	XSI	libraries/lib_numeric/src/p101_math/math.c	libraries/lib_numeric/include/p101_math/p101_math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h
p101_y1	c:@F@p101_y1	math	XSI	libraries/lib_numeric/src/p101_math/math.c	libraries/lib_numeric/include/p101_math/p101_math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h
p101_yn	c:@F@p101_yn	math	XSI	libraries/lib_numeric/src/p101_math/math.c	libraries/lib_numeric/include/p101_math/p101_math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h
p101_mlock	c:@F@p101_mlock	memory	POSIX-optional	libraries/lib_memory/src/sys/mman.c	libraries/lib_memory/include/p101_memory/sys/p101_mman.h	libraries/lib_posix_optional/src/sys/mman.c	libraries/lib_posix_optional/include/p101_posix_optional/sys/p101_mman.h
p101_mlockall	c:@F@p101_mlockall	memory	POSIX-optional	libraries/lib_memory/src/sys/mman.c	libraries/lib_memory/include/p101_memory/sys/p101_mman.h	libraries/lib_posix_optional/src/sys/mman.c	libraries/lib_posix_optional/include/p101_posix_optional/sys/p101_mman.h
p101_mmap	c:@F@p101_mmap	memory	POSIX	libraries/lib_memory/src/sys/mman.c	libraries/lib_memory/include/p101_memory/sys/p101_mman.h	libraries/lib_posix/src/sys/mman.c	libraries/lib_posix/include/p101_posix/sys/p101_mman.h
p101_mprotect	c:@F@p101_mprotect	memory	POSIX	libraries/lib_memory/src/sys/mman.c	libraries/lib_memory/include/p101_memory/sys/p101_mman.h	libraries/lib_posix/src/sys/mman.c	libraries/lib_posix/include/p101_posix/sys/p101_mman.h
p101_msync	c:@F@p101_msync	memory	XSI	libraries/lib_memory/src/sys/mman.c	libraries/lib_memory/include/p101_memory/sys/p101_mman.h	libraries/lib_posix_xsi/src/sys/mman.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_mman.h
p101_munlock	c:@F@p101_munlock	memory	POSIX-optional	libraries/lib_memory/src/sys/mman.c	libraries/lib_memory/include/p101_memory/sys/p101_mman.h	libraries/lib_posix_optional/src/sys/mman.c	libraries/lib_posix_optional/include/p101_posix_optional/sys/p101_mman.h
p101_munlockall	c:@F@p101_munlockall	memory	POSIX-optional	libraries/lib_memory/src/sys/mman.c	libraries/lib_memory/include/p101_memory/sys/p101_mman.h	libraries/lib_posix_optional/src/sys/mman.c	libraries/lib_posix_optional/include/p101_posix_optional/sys/p101_mman.h
p101_munmap	c:@F@p101_munmap	memory	POSIX	libraries/lib_memory/src/sys/mman.c	libraries/lib_memory/include/p101_memory/sys/p101_mman.h	libraries/lib_posix/src/sys/mman.c	libraries/lib_posix/include/p101_posix/sys/p101_mman.h
p101_posix_madvise	c:@F@p101_posix_madvise	memory	POSIX-optional	libraries/lib_memory/src/sys/mman.c	libraries/lib_memory/include/p101_memory/sys/p101_mman.h	libraries/lib_posix_optional/src/sys/mman.c	libraries/lib_posix_optional/include/p101_posix_optional/sys/p101_mman.h
p101_posix_memalign	c:@F@p101_posix_memalign	memory	POSIX-optional	libraries/lib_memory/src/stdlib.c	libraries/lib_memory/include/p101_memory/p101_stdlib.h	libraries/lib_posix_optional/src/stdlib.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_stdlib.h
p101_accept	c:@F@p101_accept	network	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h
p101_bind	c:@F@p101_bind	network	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h
p101_connect	c:@F@p101_connect	network	POSIX	libraries/lib_network/src/sys/socket.c	libraries/lib_network/include/p101_network/sys/p101_socket.h	libraries/lib_posix/src/sys/socket.c	libraries/lib_posix/include/p101_posix/sys/p101_socket.h
p101_endhostent	c:@F@p101_endhostent	network	POSIX	libraries/lib_network/src/netdb.c	libraries/lib_network/include/p101_network/p101_netdb.h	libraries/lib_posix/src/netdb.c	libraries/lib_posix/include/p101_posix/p101_netdb.h
p101_endnetent	c:@F@p101_endnetent	network	POSIX	libraries/lib_network/src/netdb.c	libraries/lib_network/include/p101_network/p101_netdb.h	libraries/lib_posix/src/netdb.c	libraries/lib_posix/include/p101_posix/p101_netdb.h
p101_endprotoent	c:@F@p101_endprotoent	network	POSIX	libraries/lib_network/src/netdb.c	libraries/lib_network/include/p101_network/p101_netdb.h	libraries/lib_posix/src/netdb.c	libraries/lib_posix/include/p101_posix/p101_netdb.h
p101_endservent	c:@F@p101_endservent	network	POSIX	libraries/lib_network/src/netdb.c	libraries/lib_network/include/p101_network/p101_netdb.h	libraries/lib_posix/src/netdb.c	libraries/lib_posix/include/p101_posix/p101_netdb.h
p101_ether_aton	c:@F@p101_ether_aton	network	common-Unix	libraries/lib_network/src/net/ethernet.c	libraries/lib_network/include/p101_network/net/p101_ethernet.h	libraries/lib_unix/src/net/ethernet.c	libraries/lib_unix/include/p101_unix/net/p101_ethernet.h
p101_ether_hostton	c:@F@p101_ether_hostton	network	common-Unix	libraries/lib_network/src/net/ethernet.c	libraries/lib_network/include/p101_network/net/p101_ethernet.h	libraries/lib_unix/src/net/ethernet.c	libraries/lib_unix/include/p101_unix/net/p101_ethernet.h
p101_ether_line	c:@F@p101_ether_line	network	common-Unix	libraries/lib_network/src/net/ethernet.c	libraries/lib_network/include/p101_network/net/p101_ethernet.h	libraries/lib_unix/src/net/ethernet.c	libraries/lib_unix/include/p101_unix/net/p101_ethernet.h
p101_ether_ntoa	c:@F@p101_ether_ntoa	network	common-Unix	libraries/lib_network/src/net/ethernet.c	libraries/lib_network/include/p101_network/net/p101_ethernet.h	libraries/lib_unix/src/net/ethernet.c	libraries/lib_unix/include/p101_unix/net/p101_ethernet.h
